production_id,time_id,site_id,material_id,employee_id,shift_id,produced_volume,unit_cost,date,day,month,year,day_name,site_name,region,latitude,longitude,material_name,material_type,unit_of_measure,quantity,employee_name,position,department,status,hire_date,shift_name,start_time,end_time
1,806,4,4,10,3,97,108,2027-07-15,15,7,2027,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2022-05-14,Night,22:00:00,06:00:00
2,386,1,1,1,2,88,111,2026-05-21,21,5,2026,Thursday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Gavin Ross,Operator,Mining,Inactive,2015-06-17,Afternoon,14:00:00,22:00:00
3,956,4,1,2,1,336,424,2027-12-12,12,12,2027,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Kevin Ramos,Technician,Logistics,Active,2016-12-09,Morning,06:00:00,14:00:00
4,277,5,2,4,3,59,343,2026-02-01,1,2,2026,Sunday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Night,22:00:00,06:00:00
5,460,1,4,4,2,79,281,2026-08-03,3,8,2026,Monday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Afternoon,14:00:00,22:00:00
6,22,5,1,5,3,293,383,2025-05-22,22,5,2025,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2020-08-26,Night,22:00:00,06:00:00
7,253,2,3,2,3,323,411,2026-01-08,8,1,2026,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Gold,Metal,Ton,1769,Kevin Ramos,Technician,Logistics,Active,2016-12-09,Night,22:00:00,06:00:00
8,748,1,4,4,2,493,198,2027-05-18,18,5,2027,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2024-01-24,Afternoon,14:00:00,22:00:00
9,857,5,3,1,2,137,296,2027-09-04,4,9,2027,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Gold,Metal,Ton,1769,Gavin Ross,Operator,Mining,Inactive,2015-06-17,Afternoon,14:00:00,22:00:00
10,475,2,3,2,1,293,465,2026-08-18,18,8,2026,Tuesday,Site Batu B,Papua,9.014286128198322,92.90418060840997,Gold,Metal,Ton,1769,Kevin Ramos,Technician,Logistics,Active,2016-12-09,Morning,06:00:00,14:00:00
